song,artist,track_id,album_id,album_name,artist_id,popularity,release_date,track_duration_ms
Die With A Smile,Lady Gaga & Bruno Mars,2plbrEY59IikOBgBGLjaoe,10FLjwfpbxLmW8c25Xyc2N,Die With A Smile,1HY2Jd0NmPuamShAr6KMms,100.0,2024-08-16,251667.0
A Bar Song (Tipsy),Shaboozey,2FQrifJ1N335Ljm3TjTVVf,6egBeCLeGITzGSo5VyRjwZ,A Bar Song (Tipsy),3y2cIKLjiOlp1Np37WiUdH,86.0,2024-04-12,171291.0
Birds Of A Feather,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB,7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,6qqNVTkY8uBg9cP3Jd7DAH,97.0,2024-05-17,210373.0
Lose Control,Teddy Swims,17phhZDn6oGtzMe56NuWvj,7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),33qOK5uJ8AR2xuQQAhHump,89.0,2023-09-15,210688.0
APT.,ROSE & Bruno Mars,5vNRhkKd0yEAg8suGBpjeY,2IYQwwgxgOIn7t3iF6ufFD,APT.,3eVa5w3URK5duf6eyVDbu9,96.0,2024-10-18,169917.0
That's So True,Gracie Abrams,7ne4VBA60CxGM75vw0EYad,0hBRqPYPXhr1RkTDG3n4Mk,The Secret of Us (Deluxe),4tuJ0bMpJh08umKkEXKUI5,96.0,2024-10-18,166300.0
Luther,Kendrick Lamar & SZA,45J4avUb9Ni0bnETYaYFVJ,0hvT3yIEysuuvkK73vgdcW,GNX,2YZyLoL8N0Wb9xBt1NhZWg,90.0,2024-11-22,177598.0
Espresso,Sabrina Carpenter,2qSkIjg1o9h3YT9RAgYN75,5quMTd5zeI9yW5UDua8wS4,Espresso,74KM79TiuVKeVCqs8QtB0B,88.0,2024-04-12,175459.0
Taste,Sabrina Carpenter,5G2f63n7IPVPPjfNIGih7Q,3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,74KM79TiuVKeVCqs8QtB0B,91.0,2024-08-23,157279.0
Beautiful Things,Benson Boone,3xkHsmpQCBMytMJNiDf3Ii,168CdR21lfn0TTyw1Pkdcm,Fireworks & Rollerblades,22wbnEMDvgVIAGdFeek6ET,88.0,2024-04-05,180304.0
Love Somebody,Morgan Wallen,7hR22TOX3RorxJPcsz5Wbo,0TxewlKVKdpP18dGg279ep,Love Somebody,4oUHIQIBe0LHzYfvXNW4QM,84.0,2024-10-18,204828.0
Too Sweet,Hozier,19XpFsce28aByvCC4g89tJ,48qd9sU3xqYJbKaxHCciJL,Unreal Unearth: Unaired,2FXC3k01G6Gw61bmprjgqS,84.0,2024-08-19,251424.0
Timeless,The Weeknd & Playboi Carti,1Es7AUAhQvapIcoh3qMKDL,2IRxVVqbSbqHJo8Zx50LYn,Timeless,1Xyo4u8uXC1ZmMpatF05PJ,92.0,2024-09-27,256000.0
Squabble Up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb,0hvT3yIEysuuvkK73vgdcW,GNX,2YZyLoL8N0Wb9xBt1NhZWg,89.0,2024-11-22,157992.0
"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu,1WAjjRMfZjEXtB0lQrAw6Q,"Good Luck, Babe!",7GlBOeep6PqTfFi59PTUUN,93.0,2024-04-05,218423.0
Stargazing,Myles Smith,3Vr3zh0r7ALn8VLqCiRR10,3VNxRarx9HUI5w7DHv0TBj,Stargazing,3bO19AOone0ubCsfDXDtYt,87.0,2024-05-10,172533.0
