spotify_title,spotify_artist,release_date,popularity,duration_ms,explicit,is_rock,is_pop,is_jazz,is_electronic,is_classical,is_blues,is_indie,is_hot,cluster
Je sais que la Terre est plate,Raphaël,2008,14,150040,0,1,1,0,0,0,0,0,0,0
On efface,Julie Zenatti,2004,1,253000,0,0,1,0,0,0,0,0,0,0
Howells Delight,Anonymous,2011,3,240400,0,0,1,0,0,0,0,0,0,4
Martha Served,I Hate Sally,2007,1,138760,1,0,1,0,0,0,0,1,0,8
"Zip-a-Dee-Doo-Dah (From ""Song of the South"")",Orlando Pops Orchestra,2022,0,199986,0,0,1,0,0,0,0,0,0,0
Liquid Time,Brand X,1992,6,279360,0,1,1,1,0,0,0,0,0,5
Misery Path,Amorphis,2024,14,254653,0,0,1,0,0,0,0,0,0,4
Halloween,Dead Kennedys,1986,38,215160,0,1,1,0,0,0,0,0,0,2
Parto em Terras Distantes,Brigada Victor Jara,1998,0,315680,0,0,0,0,0,0,0,0,0,4
You Eclipsed By Me,Atreyu,2004,34,218906,1,0,1,0,0,0,0,0,0,3
What Drives the Weak,Shadows Fall,2004,33,283773,0,0,1,0,0,0,0,0,0,4
Life Force,Vanessa Daou,2008,1,232946,0,0,1,0,0,0,0,0,0,4
The Dance Of Europe,Dave Brockie Experience,2001,4,136733,0,1,1,0,0,0,0,0,0,2
Spoonie Is Back,Spoonie Gee,1999,4,391373,0,0,1,0,0,0,0,0,0,4
Blood Round Dance Song,R. Carlos Nakai,1983,3,146247,0,0,1,0,0,0,0,0,0,4
Crawling,Linkin Park,2000,78,208960,0,1,1,0,0,0,0,0,0,2
Bennie,Koffi Olomide,1986,13,624480,0,0,1,0,0,0,0,0,0,4
Playa del sous-sol,Alain-François,2009,13,172306,0,0,1,0,0,0,0,0,0,4
Fascinating Rhythm (Remastered 2014),Billy May & His Orchestra,2023,0,309417,0,0,0,0,0,0,0,0,0,4
I'm Not Moving - 2015 Remastered,Phil Collins,1981,31,155373,0,1,1,0,0,0,0,0,0,2
"Grand frère - BOF ""Princesses""",Philippe Sarde,2000,0,526440,0,0,0,0,0,0,0,0,0,4
Up Above My Head I Hear Music In The Air,Sister Rosetta Tharpe,1958,22,149804,0,0,1,0,0,0,1,0,0,7
Columbia - Remastered,Oasis,1994,50,377400,0,1,1,0,0,0,0,0,0,0
Radar For Love,KISS,1985,3,241066,0,1,1,0,0,0,0,0,0,2
Antarctica Starts Here - Remastered 2024,John Cale,2024,25,171824,0,1,1,0,0,0,0,0,0,2
Out in the Street - Live,UFO,1979,20,314266,0,1,1,0,0,0,0,0,0,2
Heavy on My Mind,Back Door Slam,2018,8,319840,0,1,1,0,0,0,1,1,0,8
