release_date,popularity,duration_ms,explicit,is_rock,is_pop,is_jazz,is_electronic,is_classical,is_blues,is_indie,is_hot
2008,14,150040,0,1,1,0,0,0,0,0,0
2004,1,253000,0,0,1,0,0,0,0,0,0
2011,3,240400,0,0,1,0,0,0,0,0,0
2007,1,138760,1,0,1,0,0,0,0,1,0
2022,0,199986,0,0,1,0,0,0,0,0,0
1992,6,279360,0,1,1,1,0,0,0,0,0
2024,14,254653,0,0,1,0,0,0,0,0,0
1986,38,215160,0,1,1,0,0,0,0,0,0
1998,0,315680,0,0,0,0,0,0,0,0,0
2004,34,218906,1,0,1,0,0,0,0,0,0
2004,33,283773,0,0,1,0,0,0,0,0,0
2008,1,232946,0,0,1,0,0,0,0,0,0
2001,4,136733,0,1,1,0,0,0,0,0,0
1999,4,391373,0,0,1,0,0,0,0,0,0
1983,3,146247,0,0,1,0,0,0,0,0,0
2000,78,208960,0,1,1,0,0,0,0,0,0
1986,13,624480,0,0,1,0,0,0,0,0,0
2009,13,172306,0,0,1,0,0,0,0,0,0
2023,0,309417,0,0,0,0,0,0,0,0,0
1981,31,155373,0,1,1,0,0,0,0,0,0
2000,0,526440,0,0,0,0,0,0,0,0,0
1958,22,149804,0,0,1,0,0,0,1,0,0
1994,50,377400,0,1,1,0,0,0,0,0,0
1985,3,241066,0,1,1,0,0,0,0,0,0
2024,25,171824,0,1,1,0,0,0,0,0,0
1979,20,314266,0,1,1,0,0,0,0,0,0
2018,8,319840,0,1,1,0,0,0,1,1,0
2013,0,235346,0,0,0,0,0,0,0,0,0
2008,5,258173,0,0,1,0,0,0,0,0,0
2002,12,194266,0,0,1,0,0,0,0,0,0
2008,0,406146,0,0,0,0,0,0,0,0,0
2001,0,283933,0,1,0,0,0,0,1,0,0
2018,8,256165,0,0,1,0,0,0,1,0,0
2004,17,194583,0,0,1,0,0,0,0,0,0
2009,0,158200,0,0,0,0,0,0,0,0,0
2005,0,210493,0,0,0,0,0,0,1,0,0
2015,16,296342,0,0,1,0,0,0,0,0,0
1990,1,312306,0,1,1,0,0,0,1,0,0
2007,29,235093,1,0,1,0,0,0,0,0,0
1992,27,260693,0,0,1,0,0,0,0,0,0
2015,0,218893,0,1,0,0,0,0,0,0,0
1978,0,221266,0,1,0,0,0,0,0,0,0
1995,11,295106,1,0,1,0,0,0,0,0,0
2002,10,158106,0,0,1,0,0,0,0,0,0
2002,0,224160,0,1,0,0,0,0,0,0,0
1999,0,310933,0,0,0,0,0,0,0,0,0
1998,1,151413,0,0,1,0,0,0,0,0,0
1995,21,199866,0,0,1,0,0,0,0,0,0
2008,77,278573,0,0,1,0,0,0,0,0,0
2005,53,254826,0,0,1,0,0,0,0,0,0
2007,64,237293,0,1,1,0,0,0,0,1,0
2005,1,210520,0,1,1,0,0,0,0,0,0
1986,23,181733,0,0,1,0,0,0,0,0,0
1986,49,256733,0,1,1,0,0,0,0,0,0
2013,0,182346,0,0,0,1,0,0,0,0,0
2005,21,286586,1,1,1,0,0,0,0,0,0
1969,5,177373,0,0,1,1,0,0,1,0,0
1978,0,231066,0,1,0,0,0,0,0,0,0
1991,1,126973,0,0,1,0,0,0,0,0,0
2016,0,156320,0,0,0,0,0,0,0,0,0
1998,20,324226,0,1,1,0,0,0,0,0,0
2009,2,172720,0,1,1,0,0,0,0,0,0
2004,0,203040,0,0,0,0,0,0,0,0,0
2003,0,231653,0,0,1,0,0,0,0,0,0
2008,1,98773,0,0,1,0,0,0,0,0,0
1991,5,246466,0,0,1,0,0,0,0,0,0
2002,0,210133,0,0,0,0,0,0,0,0,0
2007,11,92773,0,0,1,0,0,0,0,0,0
1996,0,296493,0,0,0,0,0,0,0,0,0
2016,29,633901,0,0,1,0,1,0,0,0,0
2009,57,213173,0,0,1,0,0,0,0,0,0
2009,42,151360,0,0,1,0,0,0,1,0,0
2000,1,226026,0,0,1,0,0,0,0,0,0
1960,10,127706,0,1,1,0,0,0,0,0,0
1998,0,229266,0,0,0,0,0,1,0,0,0
2001,16,209506,0,1,1,0,0,0,0,0,0
2002,1,239699,0,0,1,0,0,0,0,0,0
2012,2,156746,0,0,1,0,0,0,0,0,0
2008,0,217213,0,0,0,0,0,0,0,0,0
2007,3,122186,0,0,1,0,0,0,0,0,0
2004,50,226026,0,1,1,0,0,0,0,0,0
2006,41,181600,0,1,1,0,0,0,0,0,0
2005,1,359093,0,0,1,0,0,0,0,0,0
2007,0,382000,0,0,0,0,0,0,0,0,0
2005,1,259144,0,0,1,0,0,0,0,0,0
1993,3,356200,0,1,1,0,0,0,1,0,0
2006,22,263040,0,0,1,0,0,0,0,0,0
1998,0,24333,0,1,0,0,0,0,0,1,0
1990,53,250760,0,0,1,0,0,0,0,0,0
2007,0,161453,0,0,0,0,0,0,0,0,0
2009,9,241560,0,0,1,0,0,0,0,0,0
1990,4,128520,0,0,1,0,0,0,0,0,0
2011,15,268696,0,1,1,0,0,0,0,0,0
2009,19,250840,0,0,1,0,0,0,0,0,0
2000,71,290426,1,0,1,0,0,0,0,0,0
1958,19,118826,0,1,1,0,0,0,0,0,0
2016,0,192173,0,0,0,0,0,0,0,0,0
1998,54,230800,0,0,1,0,0,0,0,0,0
2000,0,170563,0,0,0,0,0,0,0,0,0
2001,1,600106,0,0,1,0,0,0,0,0,0
2006,9,211226,0,0,1,0,0,0,0,0,0
2002,29,262666,0,0,1,0,0,0,0,1,0
2009,0,487893,0,0,0,0,0,0,0,0,0
2006,1,344640,0,0,1,0,0,0,0,0,0
1965,28,151080,0,0,1,0,0,0,0,0,0
2015,14,230373,0,0,1,0,0,0,0,0,0
1997,31,85973,0,0,1,0,0,0,0,0,0
1997,23,285373,0,1,1,0,0,0,0,0,0
1993,5,322226,0,0,1,0,0,0,0,0,0
2015,0,163906,0,0,0,0,0,0,1,0,0
1990,1,152960,0,0,1,0,0,0,0,0,0
2002,3,534293,0,0,1,0,0,0,0,0,0
2003,0,204786,0,0,0,0,0,0,0,0,0
2009,0,179186,0,0,0,0,0,1,0,0,0
2009,0,163640,0,0,0,0,0,0,0,0,0
1999,1,310533,0,0,1,0,0,0,0,0,0
1999,2,98373,0,0,1,0,0,0,0,0,0
1972,18,145493,0,1,1,0,0,0,1,0,0
2003,11,229960,0,0,1,0,0,0,0,0,0
1999,10,255346,0,0,1,0,0,0,0,0,0
2008,6,204973,1,0,1,0,0,0,0,0,0
2008,1,223453,0,0,1,0,0,0,0,0,0
2001,26,202133,1,0,1,0,0,0,0,0,0
2004,0,116386,0,0,0,0,0,0,0,0,0
2021,0,282749,0,0,0,0,0,0,0,0,0
2006,0,78213,0,0,1,0,0,0,0,0,0
1977,36,150626,1,0,1,0,0,0,0,0,0
2022,49,88773,1,0,1,0,0,0,0,0,0
1990,0,157913,0,0,0,0,0,0,0,0,0
2009,5,194200,0,0,1,0,0,0,0,0,0
2009,6,274040,0,0,1,0,0,0,0,0,0
1968,45,199426,0,1,1,0,0,0,0,0,0
2016,27,242282,0,0,1,1,0,0,0,0,0
1984,42,281253,0,1,1,0,0,0,1,0,0
1979,3,247986,0,1,1,0,0,0,0,0,0
2000,0,253866,0,0,0,0,0,0,0,0,0
2023,0,177640,0,0,0,0,0,0,0,0,0
1969,6,180093,0,0,1,0,0,0,0,0,0
1977,42,161933,0,1,1,0,0,0,0,0,0
1974,42,226013,0,1,1,0,0,0,0,0,0
2009,0,142866,0,0,0,0,0,0,0,0,0
2006,2,145520,0,0,1,0,0,0,0,0,0
2005,24,184040,0,0,1,0,0,0,0,0,0
1995,1,228466,0,0,1,0,0,0,0,1,0
2008,8,298720,0,0,1,0,0,0,0,0,0
1992,0,264093,0,0,0,0,0,0,0,0,0
2002,26,472333,0,1,1,0,0,0,0,0,0
2005,17,201600,0,0,1,0,1,0,0,1,0
1999,3,277426,0,0,1,0,0,0,0,0,0
1995,0,183223,0,0,0,0,0,0,0,0,0
1966,2,121266,0,0,1,0,0,0,0,0,0
2002,0,58986,0,0,0,0,0,0,0,0,0
2020,0,175940,0,0,0,1,0,0,1,0,0
1996,3,231066,0,0,1,0,0,0,1,0,0
1959,0,132413,0,0,0,0,0,0,0,0,0
2013,23,179986,0,1,1,0,0,0,0,0,0
2000,1,141866,0,0,1,0,0,0,0,0,0
2005,39,257746,0,0,1,0,0,0,0,0,0
1977,5,208066,0,0,1,1,0,0,0,0,0
1998,0,181200,0,0,0,0,0,0,1,0,0
2008,1,224626,0,0,1,0,0,0,0,0,0
2011,1,392573,0,0,1,0,0,1,0,0,0
2007,1,170146,1,0,1,0,0,0,0,0,0
2006,58,271813,1,0,1,0,0,0,0,0,0
2020,23,173888,0,1,1,0,0,0,0,0,0
1998,54,206586,0,1,1,0,0,0,0,0,0
1983,3,349506,0,0,1,0,0,0,0,0,0
2006,0,487656,0,0,0,0,0,0,0,0,0
1980,11,371333,0,0,1,1,0,0,0,0,0
2005,21,204253,0,1,1,0,0,0,0,0,0
2009,4,264000,0,0,1,0,0,0,0,0,0
1995,1,130066,0,0,1,0,0,0,0,0,0
2006,16,220306,0,0,1,0,0,0,0,0,0
1991,15,309906,0,0,1,0,0,0,0,0,0
