spotify_title,spotify_artist,release_date,popularity,duration_ms,explicit,is_rock,is_pop,is_jazz,is_electronic,is_classical,is_blues,is_indie,is_hot
Je sais que la Terre est plate,Raphaël,2008,14,150040,0,1,1,0,0,0,0,0,0
On efface,Julie Zenatti,2004,1,253000,0,0,1,0,0,0,0,0,0
Howells Delight,Anonymous,2011,3,240400,0,0,1,0,0,0,0,0,0
Martha Served,I Hate Sally,2007,1,138760,1,0,1,0,0,0,0,1,0
"Zip-a-Dee-Doo-Dah (From ""Song of the South"")",Orlando Pops Orchestra,2022,0,199986,0,0,1,0,0,0,0,0,0
Liquid Time,Brand X,1992,6,279360,0,1,1,1,0,0,0,0,0
Misery Path,Amorphis,2024,14,254653,0,0,1,0,0,0,0,0,0
Halloween,Dead Kennedys,1986,38,215160,0,1,1,0,0,0,0,0,0
Parto em Terras Distantes,Brigada Victor Jara,1998,0,315680,0,0,0,0,0,0,0,0,0
You Eclipsed By Me,Atreyu,2004,34,218906,1,0,1,0,0,0,0,0,0
What Drives the Weak,Shadows Fall,2004,33,283773,0,0,1,0,0,0,0,0,0
Life Force,Vanessa Daou,2008,1,232946,0,0,1,0,0,0,0,0,0
The Dance Of Europe,Dave Brockie Experience,2001,4,136733,0,1,1,0,0,0,0,0,0
Spoonie Is Back,Spoonie Gee,1999,4,391373,0,0,1,0,0,0,0,0,0
Blood Round Dance Song,R. Carlos Nakai,1983,3,146247,0,0,1,0,0,0,0,0,0
Crawling,Linkin Park,2000,78,208960,0,1,1,0,0,0,0,0,0
Bennie,Koffi Olomide,1986,13,624480,0,0,1,0,0,0,0,0,0
Playa del sous-sol,Alain-François,2009,13,172306,0,0,1,0,0,0,0,0,0
Fascinating Rhythm (Remastered 2014),Billy May & His Orchestra,2023,0,309417,0,0,0,0,0,0,0,0,0
I'm Not Moving - 2015 Remastered,Phil Collins,1981,31,155373,0,1,1,0,0,0,0,0,0
"Grand frère - BOF ""Princesses""",Philippe Sarde,2000,0,526440,0,0,0,0,0,0,0,0,0
Up Above My Head I Hear Music In The Air,Sister Rosetta Tharpe,1958,22,149804,0,0,1,0,0,0,1,0,0
Columbia - Remastered,Oasis,1994,50,377400,0,1,1,0,0,0,0,0,0
Radar For Love,KISS,1985,3,241066,0,1,1,0,0,0,0,0,0
Antarctica Starts Here - Remastered 2024,John Cale,2024,25,171824,0,1,1,0,0,0,0,0,0
Out in the Street - Live,UFO,1979,20,314266,0,1,1,0,0,0,0,0,0
Heavy on My Mind,Back Door Slam,2018,8,319840,0,1,1,0,0,0,1,1,0
Everyone Make Love,Cool Cavemen,2013,0,235346,0,0,0,0,0,0,0,0,0
Calm Da Seas,Dave Hollister,2008,5,258173,0,0,1,0,0,0,0,0,0
Ran Kan Kan,Néstor Torres,2002,12,194266,0,0,1,0,0,0,0,0,0
Afraid Of Change - Tribal Vocal Mix,Casa Bulga,2008,0,406146,0,0,0,0,0,0,0,0,0
"Grow Up, Grow Old",Debbie Davies,2001,0,283933,0,1,0,0,0,0,1,0,0
Walk Away From Love,Willie Clayton,2018,8,256165,0,0,1,0,0,0,1,0,0
Rainbow Country (Knee Deep's Club Mix),Knee Deep,2004,17,194583,0,0,1,0,0,0,0,0,0
Strange Things,Tanto Metro & Devonte,2009,0,158200,0,0,0,0,0,0,0,0,0
Screamin' & Hollerin' The Blues,Alvin Youngblood Hart,2005,0,210493,0,0,0,0,0,0,1,0,0
Dholna Ve Ranjna,Naseebo Lal,2015,16,296342,0,0,1,0,0,0,0,0,0
Parchman Farm,Hot Tuna,1990,1,312306,0,1,1,0,0,0,1,0,0
A Lo Clásico,Daddy Yankee,2007,29,235093,1,0,1,0,0,0,0,0,0
只想您會意,Hacken Lee,1992,27,260693,0,0,1,0,0,0,0,0,0
Amaze,Jimmy Riley,2015,0,218893,0,1,0,0,0,0,0,0,0
Radio Rape,The Cortinas,1978,0,221266,0,1,0,0,0,0,0,0,0
Ain't No Game,Masta Ace Incorporated,1995,11,295106,1,0,1,0,0,0,0,0,0
Cavaleiro De Aruanda,Jongo Trio,2002,10,158106,0,0,1,0,0,0,0,0,0
Tell Me Why,George Nooks,2002,0,224160,0,1,0,0,0,0,0,0,0
Czwarty,Energy,1999,0,310933,0,0,0,0,0,0,0,0,0
Washington Post - 1998 Digital Remaster,John Philip Sousa,1998,1,151413,0,0,1,0,0,0,0,0,0
Cavalleria Rusticana,William Orbit,1995,21,199866,0,0,1,0,0,0,0,0,0
Forever,Chris Brown,2008,77,278573,0,0,1,0,0,0,0,0,0
Amor a Medias,Ha*Ash,2005,53,254826,0,0,1,0,0,0,0,0,0
15 Step,Radiohead,2007,64,237293,0,1,1,0,0,0,0,1,0
I Love Your Way,Kashief Lindo,2005,1,210520,0,1,1,0,0,0,0,0,0
Lookin' for Me Somewhere,Bodeans,1986,23,181733,0,0,1,0,0,0,0,0,0
Raise Your Hands,Bon Jovi,1986,49,256733,0,1,1,0,0,0,0,0,0
Rainbow Dance,John Tchicai,2013,0,182346,0,0,0,1,0,0,0,0,0
Champagne & Reefer,Bongzilla,2005,21,286586,1,1,1,0,0,0,0,0,0
No More Doggin',Otis Spann,1969,5,177373,0,0,1,1,0,0,1,0,0
I Need a Veggie,John Holt,1978,0,231066,0,1,0,0,0,0,0,0,0
Get Happy,Danny Wilson,1991,1,126973,0,0,1,0,0,0,0,0,0
I'll Wait For You Dear,Al Dexter,2016,0,156320,0,0,0,0,0,0,0,0,0
From Afar,Van Halen,1998,20,324226,0,1,1,0,0,0,0,0,0
Cry for Love,Capleton,2009,2,172720,0,1,1,0,0,0,0,0,0
Wohär dr Wind wäiht,Kisha,2004,0,203040,0,0,0,0,0,0,0,0,0
Volumatic Spacer Device,The Chap,2003,0,231653,0,0,1,0,0,0,0,0,0
Putt Jhatt Da Gulabi Phull Varga,Dj Vix,2008,1,98773,0,0,1,0,0,0,0,0,0
Namibia,Ziggy Marley & The Melody Makers,1991,5,246466,0,0,1,0,0,0,0,0,0
Unlearn,Crematorium,2002,0,210133,0,0,0,0,0,0,0,0,0
Vargbrodern Talar,Månegarm,2007,11,92773,0,0,1,0,0,0,0,0,0
Sweet Lady - Instrumental,Floyd Lloyd,1996,0,296493,0,0,0,0,0,0,0,0,0
Forever More (Francois K & Eric Kupper Vocal Mix),Moloko,2016,29,633901,0,0,1,0,1,0,0,0,0
3,Britney Spears,2009,57,213173,0,0,1,0,0,0,0,0,0
Meet Me in the City,Junior Kimbrough,2009,42,151360,0,0,1,0,0,0,1,0,0
Drama,Liquid Gang,2000,1,226026,0,0,1,0,0,0,0,0,0
"Oh, What A Feeling",The Everly Brothers,1960,10,127706,0,1,1,0,0,0,0,0,0
Concerto for Saxophone Quartet & Orchestra: Movement IV,Philip Glass,1998,0,229266,0,0,0,0,0,1,0,0,0
Llama y Verás,Luis Alberto Spinetta,2001,16,209506,0,1,1,0,0,0,0,0,0
هي هي,Ramy Ayach,2002,1,239699,0,0,1,0,0,0,0,0,0
Misty Valley,Peter Yorke,2012,2,156746,0,0,1,0,0,0,0,0,0
Sehnsuchtsexpress,Frl. Menke,2008,0,217213,0,0,0,0,0,0,0,0,0
Come Alive,Agnostic Front,2007,3,122186,0,0,1,0,0,0,0,0,0
Spitting Games,Snow Patrol,2004,50,226026,0,1,1,0,0,0,0,0,0
Drones,Rise Against,2006,41,181600,0,1,1,0,0,0,0,0,0
Check The Bomb,Refractory,2005,1,359093,0,0,1,0,0,0,0,0,0
System of Play,Theodor Zox,2007,0,382000,0,0,0,0,0,0,0,0,0
Birch,Maximilian Hecker,2005,1,259144,0,0,1,0,0,0,0,0,0
Same Old Thing,Albert Collins,1993,3,356200,0,1,1,0,0,0,1,0,0
Voodoo Doll,Fergie,2006,22,263040,0,0,1,0,0,0,0,0,0
Nerio Compra Una Contestadora,Los Amigos Invisibles,1998,0,24333,0,1,0,0,0,0,0,1,0
Killer,Adamski,1990,53,250760,0,0,1,0,0,0,0,0,0
Sunset Manifesto,Flink,2007,0,161453,0,0,0,0,0,0,0,0,0
From My Hands,Salt The Wound,2009,9,241560,0,0,1,0,0,0,0,0,0
Mit Lust tritt ich an diesen Tanz,Ludwig Senfl,1990,4,128520,0,0,1,0,0,0,0,0,0
Paradise in Your Eyes,Winston Reedy,2011,15,268696,0,1,1,0,0,0,0,0,0
Isku Pitkästä Ilosta,Korpiklaani,2009,19,250840,0,0,1,0,0,0,0,0,0
The Way I Am,Eminem,2000,71,290426,1,0,1,0,0,0,0,0,0
One More Ride,Johnny Cash,1958,19,118826,0,1,1,0,0,0,0,0,0
Can't Help Falling In Love,Brian Dullaghan,2016,0,192173,0,0,0,0,0,0,0,0,0
Que Vuelvas,Shakira,1998,54,230800,0,0,1,0,0,0,0,0,0
I'm In The Mood For Love,Roger Williams,2000,0,170563,0,0,0,0,0,0,0,0,0
Concertino for Bass Trombone and Trombone Choir,Eric Ewazen,2001,1,600106,0,0,1,0,0,0,0,0,0
De Tha Mai Edo,Domna Kountouri,2006,9,211226,0,0,1,0,0,0,0,0,0
A Goodnight's Sleep,The Starting Line,2002,29,262666,0,0,1,0,0,0,0,1,0
"Mui Mal, Animal - Midnight Animal Mix",L.A.V.I,2009,0,487893,0,0,0,0,0,0,0,0,0
Cup Horn - Original Mix,Ten Madison,2006,1,344640,0,0,1,0,0,0,0,0,0
Am I That Easy to Forget,Carl Belew,1965,28,151080,0,0,1,0,0,0,0,0,0
Vitamina,Sonora Carruseles,2015,14,230373,0,0,1,0,0,0,0,0,0
The Haunting,Misfits,1997,31,85973,0,0,1,0,0,0,0,0,0
Some Kind Of Zombie,Audio Adrenaline,1997,23,285373,0,1,1,0,0,0,0,0,0
A Veces Hablo De Ti,Tito Allen,1993,5,322226,0,0,1,0,0,0,0,0,0
Old Fashioned Baby '49,Pee Wee Crayton,2015,0,163906,0,0,0,0,0,0,1,0,0
Just Say Yes,The Dickies,1990,1,152960,0,0,1,0,0,0,0,0,0
Faithkeeper - Part 1,David & Steve Gordon,2002,3,534293,0,0,1,0,0,0,0,0,0
Children Of Love,Abijah,2003,0,204786,0,0,0,0,0,0,0,0,0
Afro Profondo,Daniela Dessi,2009,0,179186,0,0,0,0,0,1,0,0,0
Lihava Enkeli,Murskahumppa,2009,0,163640,0,0,0,0,0,0,0,0,0
Killing Me Softly With His Song,CoCo Lee,1999,1,310533,0,0,1,0,0,0,0,0,0
Love Theme (The Falling In Love) - Isn’t She Great/Soundtrack Version,Burt Bacharach,1999,2,98373,0,0,1,0,0,0,0,0,0
Roller Derby,Leon Russell,1972,18,145493,0,1,1,0,0,0,1,0,0
Are You Ever Gonna Love Me?,Jimmy Wayne,2003,11,229960,0,0,1,0,0,0,0,0,0
So Deep - Original,Ann Lee,1999,10,255346,0,0,1,0,0,0,0,0,0
Collecting Dust,Life Long Tragedy,2008,6,204973,1,0,1,0,0,0,0,0,0
You Had Me from Hello,Hushabye Baby,2008,1,223453,0,0,1,0,0,0,0,0,0
Nothing's Clear,Ill Niño,2001,26,202133,1,0,1,0,0,0,0,0,0
You Must Do Your Best Tonight / I Represent/Animal Crackers,Marx Brothers,2004,0,116386,0,0,0,0,0,0,0,0,0
French Suite: A Paris Thing - Re-Recorded and Remastered,William Goldstein,2021,0,282749,0,0,0,0,0,0,0,0,0
Oh Scat Mix Up,Tim Exile,2006,0,78213,0,0,1,0,0,0,0,0,0
The Modern World,The Jam,1977,36,150626,1,0,1,0,0,0,0,0,0
